total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
7,NA,NA,MORA ROMERO Ramiro,11316,1997-09-29,26.9,M,WRT,A,101.9,102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,161,166,-168,166,201,206,210,210,376
8,NA,NA,KITTS Wesley Brian,8548,1990-05-22,34.2,M,USA,A,102,102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,167,172,-177,172,202,-210,-210,202,374
9,NA,NA,JANG Yeonhak,7437,1997-02-14,27.5,M,KOR,A,102,102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,173,-179,-180,173,200,-211,-221,200,373
10,NA,NA,HASANBAYEV Davranbek,6507,2000-12-24,23.6,M,TKM,A,100.9,102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,180,-187,-188,180,-190,190,-200,190,370
NA,NA,NA,ABUZRIBA Ahmed Mustafa Ahmed,207,2000-04-16,24.3,M,LBA,A,101.95,102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,164,-169,-170,164,NA,NA,NA,NA,NA
NA,NA,NA,OPELOGE Don,12426,1999-05-13,25.2,M,SAM,A,101.55,102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-170,-170,-170,NA,NA,NA,NA,NA,NA
NA,NA,NA,ELBAKH Fares Ibrahim E. H.,4763,1998-06-04,26.2,M,QAT,A,101.7,102 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-178,-178,-178,NA,NA,NA,NA,NA,NA
1,NA,NA,HOU Zhihui,6919,1997-03-18,27.4,W,CHN,A,49,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-89,89,-93,89,110,-117,117,117,206
2,NA,NA,CAMBEI Mihaela-Valentina,2886,2002-11-18,21.7,W,ROU,A,49,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,89,91,93,93,106,110,112,112,205
3,NA,NA,KHAMBAO Surodchana,8270,1999-12-23,24.6,W,THA,A,49,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,86,-88,88,88,110,112,-114,112,200
4,NA,NA,MIRABAI Chanu Saikhom,11019,1994-08-08,30,W,IND,A,48.8,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,85,-88,88,88,-111,111,-114,111,199
5,NA,NA,DELACRUZ Jourdan Elizabeth,4191,1998-05-20,26.2,W,USA,A,49,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,84,-87,-88,84,105,-110,111,111,195
6,NA,NA,FANG Wan Ling,5061,1999-12-01,24.7,W,TPE,A,49,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,80,83,86,86,102,-106,107,107,193
7,NA,NA,PIRON CANDELARIO Beatriz Elizabeth,13246,1995-02-27,29.4,W,DOM,A,49,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,85,-88,-88,85,102,107,-110,107,192
8,NA,NA,SUZUKI Rira,16166,1998-09-06,25.9,W,JPN,A,48.8,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,83,-85,-85,83,108,-112,-117,108,191
9,NA,NA,ECHANDIA ZARATE Katherin Oriana,4677,2001-08-14,23,W,VEN,A,49,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,83,-86,-86,83,105,-107,-109,105,188
10,NA,NA,RANDAFIARISON Rosina,13787,1999-12-29,24.6,W,MAD,A,48.2,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,75,80,-83,80,95,-100,100,100,180
11,NA,NA,LAGATAO Nicola,9105,1991-11-10,32.7,W,GUM,A,48.45,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,56,59,-62,59,74,77,-79,77,136
NA,NA,NA,STERCKX Nina,15950,2002-07-26,22,W,BEL,A,49,49 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-86,-86,-86,NA,NA,NA,NA,NA,NA
1,NA,NA,LUO Shifang,9957,2001-04-02,23.3,W,CHN,A,59,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,101,105,107,107,129,134,-137,134,241
2,NA,NA,CHARRON Maude G,3231,1993-04-28,31.3,W,CAN,A,59,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,101,104,106,106,126,130,-132,130,236
3,NA,NA,KUO Hsing-Chun,8987,1993-11-26,30.7,W,TPE,A,58.95,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,103,-105,105,105,-130,130,-137,130,235
4,NA,NA,VENEGAS VALERA Anyelin Maria,17362,1999-01-26,25.5,W,VEN,A,59,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,97,100,102,102,122,128,-134,128,230
5,NA,NA,LAWAL Rafiatu Folashade,9266,1996-11-12,27.7,W,NGR,A,57.7,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,100,-103,-103,100,-125,-127,130,130,230
6,NA,NA,ANDO Elreen Ann,1171,1998-11-01,25.8,W,PHI,A,58.85,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-100,100,-102,100,-130,-130,130,130,230
