rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,K Duong,VIE,"Jul 03, 2007",54.88,A,111,115,---,115,55kgMen,Snatch,610,False
2,TOMARI Kotaro,JPN,"Jul 01, 2005",54.94,A,105,108,-110,108,55kgMen,Snatch,610,False
3,DHANSUH Loganathan,IND,"Nov 19, 2006",55.00,B,100,104,107,107,55kgMen,Snatch,610,False
4,GOMEZ LOPEZ Jefferson Withman,VEN,"May 06, 2005",54.90,A,97,101,105,105,55kgMen,Snatch,610,False
5,SOLORZANO CARMONA Angello Rafael,VEN,"Sep 16, 2004",54.26,A,97,-101,101,101,55kgMen,Snatch,610,False
6,MEZA Domingo Francisco,ARG,"Dec 19, 2006",54.80,B,- 95,95,100,100,55kgMen,Snatch,610,False
7,GRIJALBA SARRIA Yilver Esteban,COL,"Sep 15, 2006",55.00,A,100,-105,-105,100,55kgMen,Snatch,610,False
8,BORRES Eron,PHI,"Jan 09, 2007",54.04,A,95,100,-105,100,55kgMen,Snatch,610,False
9,ANDRADE RODRIGUEZ Samuel,COL,"May 17, 2007",55.00,A,97,100,-102,100,55kgMen,Snatch,610,False
10,DELOS SANTOS Prince Keil,PHI,"Sep 04, 2007",53.78,A,-100,100,-105,100,55kgMen,Snatch,610,False
11,KHUDANYAN Seyran,ARM,"Aug 10, 2004",55.00,A,-100,100,-109,100,55kgMen,Snatch,610,False
12,YILMAZ Ramazan Efe,TUR,"Sep 11, 2008",55.00,A,95,- 98,98,98,55kgMen,Snatch,610,False
13,MENDOZA SANCHEZ Axel,MEX,"Jan 26, 2004",54.64,B,93,- 96,97,97,55kgMen,Snatch,610,False
14,SECGIN Ertugrul,TUR,"Jan 01, 2004",55.00,A,96,-100,-106,96,55kgMen,Snatch,610,False
15,LANOUE Antonin,CAN,"Jul 24, 2005",55.00,B,95,- 99,- 99,95,55kgMen,Snatch,610,False
16,TANG Chun-Yen,TPE,"Oct 14, 2005",55.00,B,90,- 94,95,95,55kgMen,Snatch,610,False
17,ZARKOV Dzhan,BUL,"May 08, 2006",54.48,A,95,-100,-101,95,55kgMen,Snatch,610,False
18,GOMEZ MARTINEZ Oscar,ESP,"Aug 24, 2006",54.92,B,87,90,92,92,55kgMen,Snatch,610,False
19,INUMA ROJAS Michael Angel,PER,"May 22, 2006",54.52,B,88,90,- 92,90,55kgMen,Snatch,610,False
20,MORENO SANTIAGO Juan Jose,ESP,"Nov 08, 2007",50.90,B,85,- 88,88,88,55kgMen,Snatch,610,False
---,HASAN Ali A,KUW,"Apr 24, 2007",52.44,B,- 63,- 63,- 63,---,55kgMen,Snatch,610,False
---,DO Tu Tung,VIE,"Jan 10, 2004",54.98,A,-112,-112,-112,---,55kgMen,Snatch,610,False
1,DO Tu Tung,VIE,"Jan 10, 2004",54.98,A,-138,-140,140,140,55kgMen,CleanJerk,610,False
2,TOMARI Kotaro,JPN,"Jul 01, 2005",54.94,A,131,139,-141,139,55kgMen,CleanJerk,610,False
3,K Duong,VIE,"Jul 03, 2007",54.88,A,138,-142,---,138,55kgMen,CleanJerk,610,False
4,YILMAZ Ramazan Efe,TUR,"Sep 11, 2008",55.00,A,131,-137,-138,131,55kgMen,CleanJerk,610,False
5,MEZA Domingo Francisco,ARG,"Dec 19, 2006",54.80,B,125,130,-135,130,55kgMen,CleanJerk,610,False
6,ZARKOV Dzhan,BUL,"May 08, 2006",54.48,A,125,129,-133,129,55kgMen,CleanJerk,610,False
7,GRIJALBA SARRIA Yilver Esteban,COL,"Sep 15, 2006",55.00,A,123,127,-131,127,55kgMen,CleanJerk,610,False
8,BORRES Eron,PHI,"Jan 09, 2007",54.04,A,-127,127,-131,127,55kgMen,CleanJerk,610,False
9,LANOUE Antonin,CAN,"Jul 24, 2005",55.00,B,120,125,-130,125,55kgMen,CleanJerk,610,False
