rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,KINGUE MATAM Bernardin Ledoux,FRA,"May 20, 1990",73.00,A,-175,175,-180,175,73kgMen,CleanJerk,604,False
---,BEN HNIA Karem,TUN,"Nov 13, 1994",73.00,A,181,-186,-187,181,73kgMen,CleanJerk,604,False
---,BAK Joohyo,KOR,"Jun 29, 1997",73.00,A,-186,187,-196,187,73kgMen,CleanJerk,604,False
---,MIYAMOTO Masanori,JPN,"Feb 03, 1997",72.65,A,-187,187,-193,187,73kgMen,CleanJerk,604,False
---,MOSQUERA LOZANO Luis Javier,COL,"Mar 27, 1995",73.00,A,-185,185,-189,185,73kgMen,CleanJerk,604,False
---,ANDREEV Bozhidar Dimitrov,BUL,"Jan 17, 1997",73.00,A,183,187,190,190,73kgMen,CleanJerk,604,False
---,JUNIANSYAH Rizki,INA,"Jun 17, 2003",72.95,A,191,199,---,199,73kgMen,CleanJerk,604,False
---,OZBEK Muhammed Furkan,TUR,"Jan 24, 2001",72.95,A,-189,-191,191,191,73kgMen,CleanJerk,604,False
1,JUNIANSYAH Rizki,INA,"Jun 17, 2003",72.95,A,155,199,354,---,73kgMen,Total,604,False
2,WICHUMA Weeraphon,THA,"Aug 10, 2004",72.70,A,148,198,346,---,73kgMen,Total,604,False
3,ANDREEV Bozhidar Dimitrov,BUL,"Jan 17, 1997",73.00,A,154,190,344,---,73kgMen,Total,604,False
4,OZBEK Muhammed Furkan,TUR,"Jan 24, 2001",72.95,A,150,191,341,---,73kgMen,Total,604,False
5,MOSQUERA LOZANO Luis Javier,COL,"Mar 27, 1995",73.00,A,155,185,340,---,73kgMen,Total,604,False
6,MIYAMOTO Masanori,JPN,"Feb 03, 1997",72.65,A,151,187,338,---,73kgMen,Total,604,False
7,BAK Joohyo,KOR,"Jun 29, 1997",73.00,A,147,187,334,---,73kgMen,Total,604,False
8,BEN HNIA Karem,TUN,"Nov 13, 1994",73.00,A,149,181,330,---,73kgMen,Total,604,False
9,KINGUE MATAM Bernardin Ledoux,FRA,"May 20, 1990",73.00,A,145,175,320,---,73kgMen,Total,604,False
---,SHI Zhiyong,CHN,"Oct 10, 1993",72.90,A,165,---,---,---,73kgMen,Total,604,False
---,SUHAREVS Ritvars,LAT,"Jan 11, 1999",73.00,A,---,---,---,---,73kgMen,Total,604,False
---,MAYORA PERNA Julio Ruben,VEN,"Sep 02, 1996",72.95,A,152,---,---,---,73kgMen,Total,604,False
---,NASAR Karlos May,BUL,"May 12, 2004",88.40,A,173,177,180,180,89kgMen,Snatch,604,False
---,PIZZOLATO Antonino,ITA,"Aug 20, 1996",89.00,A,-172,172,-176,172,89kgMen,Snatch,604,False
---,ROBU Marin,MDA,"Mar 19, 2000",88.90,A,170,175,---,175,89kgMen,Snatch,604,False
---,JAVADI ALIABADI Mir Mostafa,IRI,"Jun 22, 2000",88.80,A,164,168,-171,168,89kgMen,Snatch,604,False
---,YU Dongju,KOR,"Aug 19, 1993",89.00,A,-163,163,168,168,89kgMen,Snatch,604,False
---,VALLENILLA SANCHEZ Keydomar Giovanni,VEN,"Oct 08, 1999",88.65,A,157,162,-165,162,89kgMen,Snatch,604,False
---,KARAPETYAN Andranik,ARM,"Dec 15, 1995",88.90,A,170,-175,-177,170,89kgMen,Snatch,604,False
---,IMADOUCHENE Romain Jordan Sebastien,FRA,"Sep 05, 1995",89.00,A,-155,155,-161,155,89kgMen,Snatch,604,False
---,BRUCE Kyle John Ryan Christopher P,AUS,"Jul 12, 1999",86.45,A,143,-148,148,148,89kgMen,Snatch,604,False
---,ABOKAHLA Karim Ibrahim Ibrahim Ali,EGY,"Nov 11, 1996",89.00,A,165,-170,-170,165,89kgMen,Snatch,604,False
---,SANTAVY Boady Robert,CAN,"May 22, 1997",89.00,A,158,163,-166,163,89kgMen,Snatch,604,False
---,LOPEZ LOPEZ Yeison,COL,"Jan 09, 1999",88.20,A,175,-180,180,180,89kgMen,Snatch,604,False
---,NASAR Karlos May,BUL,"May 12, 2004",88.40,A,213,224,---,224,89kgMen,CleanJerk,604,False
---,PIZZOLATO Antonino,ITA,"Aug 20, 1996",89.00,A,-212,-212,212,212,89kgMen,CleanJerk,604,False
