rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,KAHRIMAN Kaan,TUR,"Sep 12, 2004",66.50,A,151,156,---,156,67kgMen,CleanJerk,579,False
2,KARAPETYAN Tigran,ARM,"Jul 18, 2005",66.85,A,152,-157,-157,152,67kgMen,CleanJerk,579,False
3,PIETRZAK Hubert,POL,"Apr 15, 2005",67.00,A,140,145,-152,145,67kgMen,CleanJerk,579,False
4,WIATROWICZ Marcin Fabian,POL,"Apr 29, 2003",66.70,A,135,140,-143,140,67kgMen,CleanJerk,579,False
5,DIACONU Iulian Mihai,ROU,"Feb 01, 2005",66.60,A,-136,136,-141,136,67kgMen,CleanJerk,579,False
6,RRASA Samoel,ALB,"Dec 28, 2007",67.00,A,130,-133,133,133,67kgMen,CleanJerk,579,False
7,VIITASAARI Joona Juhani,FIN,"Oct 29, 2004",65.45,A,124,129,132,132,67kgMen,CleanJerk,579,False
8,JIGAU Daniel Nicolae,ROU,"Jun 16, 2005",61.85,A,115,121,-125,121,67kgMen,CleanJerk,579,False
1,KAHRIMAN Kaan,TUR,"Sep 12, 2004",66.50,A,137,156,293,---,67kgMen,Total,579,False
2,KARAPETYAN Tigran,ARM,"Jul 18, 2005",66.85,A,123,152,275,---,67kgMen,Total,579,False
3,PIETRZAK Hubert,POL,"Apr 15, 2005",67.00,A,117,145,262,---,67kgMen,Total,579,False
4,WIATROWICZ Marcin Fabian,POL,"Apr 29, 2003",66.70,A,121,140,261,---,67kgMen,Total,579,False
5,DIACONU Iulian Mihai,ROU,"Feb 01, 2005",66.60,A,120,136,256,---,67kgMen,Total,579,False
6,RRASA Samoel,ALB,"Dec 28, 2007",67.00,A,117,133,250,---,67kgMen,Total,579,False
7,VIITASAARI Joona Juhani,FIN,"Oct 29, 2004",65.45,A,103,132,235,---,67kgMen,Total,579,False
8,JIGAU Daniel Nicolae,ROU,"Jun 16, 2005",61.85,A,96,121,217,---,67kgMen,Total,579,False
1,DONOSE Tiberiu Ionut,ROU,"May 12, 2005",72.85,A,-141,141,146,146,73kgMen,Snatch,579,False
2,SAHAKYAN Gor,ARM,"Sep 01, 2003",69.80,A,140,-143,-143,140,73kgMen,Snatch,579,False
