athlete_id,name,name_alt,date_of_birth,gender,nations
17354,WILLIAMS Natalie,NA,1986-04-23,W,CAN
6679,HOMMA Tomoya,NA,1986-04-24,M,JPN
15062,SHUKUROV Azizjon,NA,1986-04-24,M,TJK
9169,LEMOS ROBLEDO Ana Margot,NA,1986-04-24,W,COL
6533,HERNANDEZ PAUMIER Yoelmis,NA,1986-04-25,M,CUB
3606,CONTRERAS Stephanie,NA,1986-04-25,W,MEX
5969,GU Wei,NA,1986-04-25,W,CHN
13002,POLOVNIKOV Vasily,NA,1986-04-28,M,RUS
3177,CHEBIKIN Volodimir,NA,1986-04-29,M,ISR
7852,KASTSIAN Vasili,NA,1986-04-29,M,BLR
11902,NYAMSUREN Myagmarsuren,NA,1986-04-29,W,MGL
15612,STRALTSOU Vadzim,NA,1986-04-30,M,BLR
15202,SINGHA Shimul Kanti,NA,1986-05-01,M,BAN
1605,AYENUWA Yinka,NA,1986-05-02,M,NGR
9999,MANCO Diego,NA,1986-05-03,M,PER
10006,MANEETONG Pongsak,NA,1986-05-03,M,THA
5796,GONZALEZ Yenny,NA,1986-05-03,W,ECU
15128,SILVA MATOS Heydy,NA,1986-05-03,W,DOM
16279,TOGOEV Nurullo,NA,1986-05-04,M,UZB
5861,GRADZKA Malwina,NA,1986-05-05,W,POL
2968,CASTILLO RODRIGUEZ Javier Antonio,NA,1986-05-07,M,GUA
1690,BAGDONAVICHIUS Giedrius,NA,1986-05-09,M,LTU
5137,FINAU Ilaniume,NA,1986-05-09,M,TGA
7592,KACZMARCZYK Karol,NA,1986-05-09,M,POL
4416,DOZOIS-PREVOST Marilou,NA,1986-05-11,W,CAN
3886,DARKO Daniel,NA,1986-05-12,M,GHA
11787,NOEL BARDIS Melanie Marie Anna,NA,1986-05-13,W,FRA
4407,DOWLING Sami,NA,1986-05-14,M,IRL
15346,SOFTA Fatih,NA,1986-05-14,M,TUR
7639,KAKHJANOV Begench,NA,1986-05-18,M,TKM
2840,CAN ROSADO Roger Alexander,NA,1986-05-19,M,MEX
9806,MADRID Elrick,NA,1986-05-20,M,PAN
7733,KAO Jia-Yu,NA,1986-05-21,W,TPE
7735,KAO Ya-chun,NA,1986-05-21,W,TPE
15595,STOKES Felisa,NA,1986-05-21,W,USA
7949,KELES Samet,NA,1986-05-22,M,TUR
16334,TOROKHTIY Oleksiy,NA,1986-05-22,M,UKR
8729,KUKKONEN Sini Kristiina,NA,1986-05-24,W,FIN
8476,KOMAREVSKI Vladislav,NA,1986-05-25,M,BUL
12958,PODOBEDOVA Svetlana,NA,1986-05-25,W,"RUS, KAZ"
13965,RONALD G. Colonia,NA,1986-05-26,M,PHI
6551,HERRERA Rosalinda Serrato,NA,1986-05-26,W,MEX
15075,SHYMECHKO Ihor,NA,1986-05-27,M,UKR
4065,DEIRERAGEA Sheba,NA,1986-05-28,W,NRU
3674,COUOH AZUETA Roger Antonio,NA,1986-05-29,M,MEX
9689,LUKANIN Igor,NA,1986-05-29,M,RUS
4566,EDWARDS Kristin Camille A,NA,1986-05-31,W,BAR
5185,FOGAGNOLO Camilla Ursula Regina,NA,1986-05-31,W,AUS
14326,SALEM Abdelatif,NA,1986-06-01,M,TUN
1526,ATTARD Dorianne,NA,1986-06-01,W,MLT
11184,MUAVAKA Jean-Paul,NA,1986-06-03,M,NCL
2936,CARUANA Sarah,NA,1986-06-03,W,AUS
2243,BILMEZ Ozlem,NA,1986-06-04,W,TUR
5353,GALKIN Yuriy,NA,1986-06-05,M,KAZ
12151,ORELLANA RUANO Billy Josue,NA,1986-06-05,M,ESA
16161,THAW Yae Faw,NA,1986-06-05,W,MYA
1326,AREVALO Erick,NA,1986-06-07,M,ESA
5978,GUBA Hale Mea,NA,1986-06-07,W,PNG
4002,DE LA ROSA BIBENE Efrain Antonio,NA,1986-06-09,M,DOM
5970,GUADAMUD BRAULIO Eduardo Francisco,NA,1986-06-11,M,ECU
17232,WARD Arlene Johanna,NA,1986-06-11,W,USA
2820,CAMILLO Alejandro,NA,1986-06-12,M,ESA
2926,CARRILLO Alejandro,NA,1986-06-12,M,ESA
11841,NOVIKAU Mikalai,NA,1986-06-13,M,BLR
8726,KUKASYAN Vartan,NA,1986-06-14,M,RUS
16121,TEMAKE Tekaei,NA,1986-06-14,M,KIR
2033,BEKTAS Abdurrahman,NA,1986-06-15,M,TUR
16405,TRAN Van Hoa,NA,1986-06-16,M,VIE
3938,DAVIS Amber,NA,1986-06-17,W,USA
9826,MAGDI Mai,NA,1986-06-17,W,EGY
17411,WONG Vicky,NA,1986-06-17,W,CAN
2656,BUSSARD Jenna,NA,1986-06-18,W,USA
14107,RUOKIS Algirdas,NA,1986-06-19,M,LTU
10559,MENDOZA GARCIA David Aurelio,NA,1986-06-21,M,HON
9002,LARSEN Line Holst,NA,1986-06-21,W,DEN
4138,DERKACH Yuliya,NA,1986-06-22,W,"AZE, UKR"
7488,JOORON Dhunanjay Alvin,NA,1986-06-23,M,MRI
8736,KULESHA Iryna,NA,1986-06-26,W,BLR
9112,LEE Kyung-Jin,NA,1986-06-26,W,KOR
2441,BOURGEOIS Jason,NA,1986-06-27,M,USA
4452,DUDOGLO Ghenadie,NA,1986-06-27,M,MDA
13195,PUPUTTI Jenni Maria,NA,1986-06-28,W,FIN
4945,FARHAN Barev,NA,1986-07-01,M,IRQ
6912,HUSSEIN Mohammad,NA,1986-07-01,M,IRQ
12231,OTA Kazuomi,NA,1986-07-01,M,JPN
16828,VAN WEMMEL Nicky,NA,1986-07-01,M,BEL
4961,FARRIS Kendrick James,NA,1986-07-02,M,USA
10363,MAYCOCK Whitnee,NA,1986-07-03,W,USA
11451,"NALUBANGA Mariam",NA,1986-07-04,W,UGA
4516,DYMSHITS Alexandre,NA,1986-07-06,M,ISR
6614,HIROSE Masaya,NA,1986-07-06,M,JPN
6645,HOEK Ulrich Jurgen,NA,1986-07-08,M,ARU
